Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Toscana Impianti S.r.l.,S.r.l.,Meccanica,2002,48116257464,Micro impresa,2,0.23,+39 360 9540484,info@toscanaimpianti.it,https://www.toscanaimpianti.it,"Via Mazzini, 186 - 35176 Padova (PD)",35176,Padova,PD,Azienda a conduzione familiare con 23 anni di esperienza nel settore meccanica. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 0.23 milioni di euro.
Giordano - Rossi S.r.l.,S.r.l.,Servizi alle imprese,1998,64681414278,Micro impresa,7,0.36,+39 345 8666149,info@giordanorossi.it,https://www.giordanorossi.it,"Via I Maggio, 38 - 36051 Udine (UD)",36051,Udine,UD,"PMI italiana attiva nel settore servizi alle imprese dal 1998. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romano & Gallo S.p.A.,S.p.A.,ICT,2003,82889114559,Micro impresa,5,1.75,+39 081 1651394,info@romanoegallo.it,https://www.romanoegallo.it,"Viale della Repubblica, 145 - 66059 Prato (PO)",66059,Prato,PO,"PMI italiana attiva nel settore ict dal 2003. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
P.R.I.H. S.a.s.,S.a.s.,Meccanica,1977,61478646136,Micro impresa,3,1.21,+39 091 5031286,ufficio@prih.it,,"Viale delle Nazioni, 183 - 22059 Bolzano (BZ)",22059,Bolzano,BZ,"Da oltre 48 anni siamo specializzati nel settore meccanica. La nostra azienda, con sede a Bolzano, conta 3 collaboratori e un fatturato di 1.21 milioni di euro."
Biofood S.r.l.,S.r.l.,Chimica,2007,28161953227,Micro impresa,9,0.25,+39 02 1869780,biofood@yahoo.it,https://www.biofood.it,"Via dell'Artigianato, 79 - 25086 Monza (MB)",25086,Monza,MB,"Fondata nel 2007, la nostra azienda opera nel settore chimica con 9 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Stampasolutions,Ditta individuale,Meccanica,2006,42128048219,Micro impresa,9,1.88,+39 091 1704708,amministrazione@stampasolutions.it,https://www.stampasolutions.it,"Via del Lavoro, 132 - 59085 Ancona (AN)",59085,Ancona,AN,Azienda a conduzione familiare con 19 anni di esperienza nel settore meccanica. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.88 milioni di euro.
Metalprom,Ditta individuale,Servizi alle imprese,1995,07153910304,Piccola impresa,11,7.34,+39 02 3342028,ufficio@metalprom.it,https://www.metalprom.it,"Via Dante, 59 - 46010 Trento (TN)",46010,Trento,TN,"Da oltre 30 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Trento, conta 11 collaboratori e un fatturato di 7.34 milioni di euro."
Rossi e De Luca,Ditta individuale,Chimica,2019,58271279908,Micro impresa,6,1.3,+39 02 1515763,rossiedeluca@legalmail.it,https://www.rossiedeluca.it,"Via Roma, 111 - 77031 Bergamo (BG)",77031,Bergamo,BG,"Realtà imprenditoriale italiana fondata nel 2019, specializzata nel settore chimica. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.3 milioni di euro."
Greco Costruzioni Società cooperativa,Società cooperativa,Tessile,2016,64040083515,Micro impresa,3,1.0,+39 392 2351510,ufficio@grecocostruzioni.it,,"Via Bologna, 169 - 46042 Modena (MO)",46042,Modena,MO,"Fondata nel 2016, la nostra azienda opera nel settore tessile con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Umbria Impianti S.r.l.,S.r.l.,Commercio,2005,02311760094,Piccola impresa,35,7.3,+39 380 5603624,contatti@umbriaimpianti.it,https://www.umbriaimpianti.it,"Via dell'Artigianato, 34 - 47046 Udine (UD)",47046,Udine,UD,"Fondata nel 2005, la nostra azienda opera nel settore commercio con 35 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
J.G. S.a.s.,S.a.s.,Alimentare,2007,55976018920,Micro impresa,2,0.75,+39 02 9195453,amministrazione@jg.it,https://www.jg.it,"Via Fermi, 146 - 25185 Brescia (BS)",25185,Brescia,BS,"Da oltre 18 anni siamo specializzati nel settore alimentare. La nostra azienda, con sede a Brescia, conta 2 collaboratori e un fatturato di 0.75 milioni di euro."
Infosolutions S.a.s.,S.a.s.,Commercio,2022,38510065219,Micro impresa,2,1.91,+39 329 9603336,ufficio@infosolutions.it,https://www.infosolutions.it,"Via Garibaldi, 107 - 26023 Prato (PO)",26023,Prato,PO,"Da oltre 3 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Prato, conta 2 collaboratori e un fatturato di 1.91 milioni di euro."
Greco Edilizia S.r.l.,S.r.l.,Elettronica,2002,32637931544,Media impresa,142,28.75,+39 045 6640484,ufficio@grecoedilizia.it,https://www.grecoedilizia.it,"Viale della Repubblica, 128 - 29048 Prato (PO)",29048,Prato,PO,Azienda a conduzione familiare con 23 anni di esperienza nel settore elettronica. Siamo una media impresa con 142 dipendenti e un fatturato annuo di 28.75 milioni di euro.
Ricci Edilizia Società cooperativa,Società cooperativa,Alimentare,2017,54028888337,Micro impresa,9,1.51,+39 091 4318440,vendite@ricciedilizia.it,https://www.ricciedilizia.it,"Via Dante, 31 - 72012 Parma (PR)",72012,Parma,PR,"Da oltre 8 anni siamo specializzati nel settore alimentare. La nostra azienda, con sede a Parma, conta 9 collaboratori e un fatturato di 1.51 milioni di euro."
Romano e Barbieri S.n.c.,S.n.c.,Manifatturiero,1974,39254135044,Piccola impresa,10,3.39,+39 055 7055485,amministrazione@romanoebarbieri.it,,"Via Milano, 106 - 79085 Trento (TN)",79085,Trento,TN,"Da oltre 51 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Trento, conta 10 collaboratori e un fatturato di 3.39 milioni di euro."
Metalmec S.r.l.,S.r.l.,Meccanica,2012,63276616090,Micro impresa,3,1.19,+39 06 116032,info@metalmec.it,https://www.metalmec.it,"Via Bologna, 47 - 70195 Bari (BA)",70195,Bari,BA,"Realtà imprenditoriale italiana fondata nel 2012, specializzata nel settore meccanica. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 1.19 milioni di euro."
Ferrari & Giordano,Ditta individuale,Servizi alla persona,2020,33068358788,Micro impresa,3,1.19,+39 091 4745992,ufficio@ferrariegiordano.it,https://www.ferrariegiordano.it,"Via dell'Artigianato, 117 - 67065 Treviso (TV)",67065,Treviso,TV,Azienda a conduzione familiare con 5 anni di esperienza nel settore servizi alla persona. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 1.19 milioni di euro.
Ferrari & Lombardi S.r.l.,S.r.l.,ICT,2000,81460873000,Micro impresa,5,1.3,+39 055 3121522,info@ferrarielombardi.it,https://www.ferrarielombardi.it,"Via Garibaldi, 142 - 92057 Bergamo (BG)",92057,Bergamo,BG,"Fondata nel 2000, la nostra azienda opera nel settore ict con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Tecnoconsulting S.r.l.,S.r.l.,Servizi alle imprese,2011,52280866313,Micro impresa,1,1.44,+39 011 5146775,ufficio@tecnoconsulting.it,https://www.tecnoconsulting.it,"Via Mazzini, 68 - 12019 Bergamo (BG)",12019,Bergamo,BG,"Da oltre 14 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Bergamo, conta 1 collaboratori e un fatturato di 1.44 milioni di euro."
C.R.,Ditta individuale,Artigianato,2017,72394649583,Micro impresa,3,1.48,+39 328 5083188,info@cr.it,https://www.cr.it,"Via Galilei, 139 - 00183 Roma (RM)",00183,Roma,RM,"PMI italiana attiva nel settore artigianato dal 2017. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Esposito Impianti Società cooperativa,Società cooperativa,Tessile,2015,68568620194,Micro impresa,4,0.17,+39 081 8469801,info@espositoimpianti.it,https://www.espositoimpianti.it,"Via Marconi, 158 - 77022 Treviso (TV)",77022,Treviso,TV,"Fondata nel 2015, la nostra azienda opera nel settore tessile con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Toscana Legno S.n.c.,S.n.c.,Metalmeccanica,2021,25131368131,Micro impresa,1,0.19,+39 049 6558159,vendite@toscanalegno.it,https://www.toscanalegno.it,"Via Edison, 133 - 20080 Venezia (VE)",20080,Venezia,VE,"PMI italiana attiva nel settore metalmeccanica dal 2021. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Ecoproject,Ditta individuale,Manifatturiero,2002,93003981335,Media impresa,195,22.89,+39 02 9073589,ecoproject@libero.it,https://www.ecoproject.it,"Via Edison, 108 - 37057 Ancona (AN)",37057,Ancona,AN,"Da oltre 23 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Ancona, conta 195 collaboratori e un fatturato di 22.89 milioni di euro."
Rossi-Ricci,Ditta individuale,Manifatturiero,2016,50417157480,Micro impresa,3,1.54,+39 051 8299453,amministrazione@rossiricci.it,https://www.rossiricci.it,"Via Marconi, 166 - 40051 Palermo (PA)",40051,Palermo,PA,"PMI italiana attiva nel settore manifatturiero dal 2016. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bianchi Legno S.p.A.,S.p.A.,Agricoltura,2006,48925486313,Micro impresa,8,0.44,+39 345 4359280,bianchilegno@hotmail.it,,"Via IV Novembre, 53 - 40184 Bologna (BO)",40184,Bologna,BO,"PMI italiana attiva nel settore agricoltura dal 2006. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Umbria Vetro S.r.l.,S.r.l.,Chimica,2021,40977002634,Micro impresa,8,1.4,+39 051 9931859,contatti@umbriavetro.it,https://www.umbriavetro.it,"Via I Maggio, 30 - 20148 Milano (MI)",20148,Milano,MI,"Fondata nel 2021, la nostra azienda opera nel settore chimica con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
B.B. S.r.l.,S.r.l.,Manifatturiero,2022,98398103490,Micro impresa,7,1.08,+39 010 493232,vendite@bb.it,https://www.bb.it,"Via Mazzini, 127 - 96075 Vicenza (VI)",96075,Vicenza,VI,"Da oltre 3 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Vicenza, conta 7 collaboratori e un fatturato di 1.08 milioni di euro."
N.U. S.r.l.,S.r.l.,Servizi alle imprese,2003,52683758760,Micro impresa,7,1.43,+39 06 9573689,nu@yahoo.it,https://www.nu.it,"Via Galilei, 22 - 40129 Bologna (BO)",40129,Bologna,BO,"PMI italiana attiva nel settore servizi alle imprese dal 2003. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bianchi Impianti S.r.l.,S.r.l.,Commercio,2007,68253613070,Micro impresa,8,0.65,+39 051 4835393,ufficio@bianchiimpianti.it,https://www.bianchiimpianti.it,"Viale dell'Indipendenza, 84 - 25183 Brescia (BS)",25183,Brescia,BS,"PMI italiana attiva nel settore commercio dal 2007. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romagna Tessile,Ditta individuale,ICT,2019,34232640494,Micro impresa,5,0.97,+39 380 8644453,vendite@romagnatessile.it,https://www.romagnatessile.it,"Via XXV Aprile, 143 - 14056 Bolzano (BZ)",14056,Bolzano,BZ,Azienda a conduzione familiare con 6 anni di esperienza nel settore ict. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 0.97 milioni di euro.
Autotrade S.r.l.,S.r.l.,Chimica,2008,66864326110,Media impresa,151,19.96,+39 055 8509753,amministrazione@autotrade.it,https://www.autotrade.it,"Via dell'Industria, 29 - 45087 Treviso (TV)",45087,Treviso,TV,"Fondata nel 2008, la nostra azienda opera nel settore chimica con 151 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Ediprom S.n.c.,S.n.c.,Servizi alla persona,2016,58482554408,Piccola impresa,29,7.13,+39 389 2306360,contatti@ediprom.it,https://www.ediprom.it,"Via Napoli, 54 - 35186 Padova (PD)",35186,Padova,PD,"Fondata nel 2016, la nostra azienda opera nel settore servizi alla persona con 29 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
C.O.,Ditta individuale,Servizi alle imprese,2001,87711591027,Micro impresa,6,1.59,+39 393 1132470,info@co.it,https://www.co.it,"Viale della Libertà, 62 - 67080 Catania (CT)",67080,Catania,CT,Azienda a conduzione familiare con 24 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 1.59 milioni di euro.
D.T.,Ditta individuale,Commercio,2010,69822721751,Piccola impresa,28,9.91,+39 011 7388077,dt@legalmail.it,https://www.dt.it,"Via Torino, 127 - 85062 Cagliari (CA)",85062,Cagliari,CA,"Da oltre 15 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Cagliari, conta 28 collaboratori e un fatturato di 9.91 milioni di euro."
Giordano - Ricci,Ditta individuale,Meccanica,2004,33746504723,Piccola impresa,22,8.02,+39 081 8399981,vendite@giordanoricci.it,https://www.giordanoricci.it,"Via Milano, 92 - 80052 Monza (MB)",80052,Monza,MB,"Realtà imprenditoriale italiana fondata nel 2004, specializzata nel settore meccanica. La nostra struttura conta 22 professionisti qualificati e ha un fatturato di 8.02 milioni di euro."
Piemonte Legno S.r.l.,S.r.l.,Tessile,2001,11138971038,Micro impresa,4,0.09,+39 391 2249230,ufficio@piemontelegno.it,https://www.piemontelegno.it,"Viale dell'Indipendenza, 174 - 83028 Prato (PO)",83028,Prato,PO,"Realtà imprenditoriale italiana fondata nel 2001, specializzata nel settore tessile. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.09 milioni di euro."
Rossi Costruzioni S.r.l.,S.r.l.,Meccanica,1996,97872207357,Micro impresa,6,0.41,+39 049 4032371,info@rossicostruzioni.it,,"Via Garibaldi, 106 - 90099 Venezia (VE)",90099,Venezia,VE,"Fondata nel 1996, la nostra azienda opera nel settore meccanica con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bianchi Servizi S.n.c.,S.n.c.,Edilizia,1995,17743237058,Piccola impresa,15,2.53,+39 380 6839077,ufficio@bianchiservizi.it,https://www.bianchiservizi.it,"Via Milano, 99 - 54093 Bolzano (BZ)",54093,Bolzano,BZ,Azienda a conduzione familiare con 30 anni di esperienza nel settore edilizia. Siamo una piccola impresa con 15 dipendenti e un fatturato annuo di 2.53 milioni di euro.
Metallogistic S.r.l.,S.r.l.,Edilizia,1979,54730987816,Micro impresa,7,1.65,+39 011 719746,vendite@metallogistic.it,https://www.metallogistic.it,"Via Garibaldi, 132 - 50152 Firenze (FI)",50152,Firenze,FI,"Fondata nel 1979, la nostra azienda opera nel settore edilizia con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno & Costa S.r.l.,S.r.l.,Alimentare,2016,92752954003,Micro impresa,7,1.63,+39 049 217037,contatti@brunoecosta.it,https://www.brunoecosta.it,"Viale della Libertà, 5 - 66097 Varese (VA)",66097,Varese,VA,"PMI italiana attiva nel settore alimentare dal 2016. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Gallo e Ferrari S.r.l.,S.r.l.,Turismo,2005,12668691682,Piccola impresa,41,5.82,+39 081 4682373,ufficio@galloeferrari.it,https://www.galloeferrari.it,"Via Bologna, 186 - 50151 Firenze (FI)",50151,Firenze,FI,"Da oltre 20 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Firenze, conta 41 collaboratori e un fatturato di 5.82 milioni di euro."
Bruno-Marino S.r.l.,S.r.l.,Tessile,1994,61593745937,Micro impresa,7,1.21,+39 393 7783810,ufficio@brunomarino.it,https://www.brunomarino.it,"Viale della Repubblica, 182 - 49095 Treviso (TV)",49095,Treviso,TV,"Fondata nel 1994, la nostra azienda opera nel settore tessile con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Veneto Edile S.r.l.,S.r.l.,Artigianato,2012,20981671125,Micro impresa,5,0.43,+39 091 4870207,amministrazione@venetoedile.it,https://www.venetoedile.it,"Via XX Settembre, 48 - 98036 Treviso (TV)",98036,Treviso,TV,"PMI italiana attiva nel settore artigianato dal 2012. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bioenergy S.n.c.,S.n.c.,Plastica,2022,08160897006,Micro impresa,9,0.21,+39 329 2408343,info@bioenergy.it,https://www.bioenergy.it,"Via Mazzini, 20 - 61091 Ancona (AN)",61091,Ancona,AN,Azienda a conduzione familiare con 3 anni di esperienza nel settore plastica. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 0.21 milioni di euro.
Toscana Edile S.r.l.,S.r.l.,Tessile,2020,51681688054,Micro impresa,3,0.18,+39 329 7742550,amministrazione@toscanaedile.it,https://www.toscanaedile.it,"Via Europa, 99 - 10174 Torino (TO)",10174,Torino,TO,"Fondata nel 2020, la nostra azienda opera nel settore tessile con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Stampaexport S.r.l.,S.r.l.,Servizi alle imprese,2006,96061784472,Micro impresa,8,1.5,+39 02 8156322,vendite@stampaexport.it,https://www.stampaexport.it,"Via Mazzini, 59 - 50195 Firenze (FI)",50195,Firenze,FI,"PMI italiana attiva nel settore servizi alle imprese dal 2006. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
R.V.Q.J. S.n.c.,S.n.c.,Artigianato,2024,00167978221,Micro impresa,3,0.16,+39 091 8593574,amministrazione@rvqj.it,https://www.rvqj.it,"Via Roma, 23 - 49021 Catania (CT)",49021,Catania,CT,"PMI italiana attiva nel settore artigianato dal 2024. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bianchi - Bruno S.r.l.,S.r.l.,Manifatturiero,2013,67803848899,Micro impresa,2,1.81,+39 081 9664734,ufficio@bianchibruno.it,,"Via dell'Artigianato, 118 - 13058 Palermo (PA)",13058,Palermo,PA,Azienda a conduzione familiare con 12 anni di esperienza nel settore manifatturiero. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.81 milioni di euro.
Romagna Plastica S.r.l.,S.r.l.,Meccanica,1997,98531823064,Micro impresa,7,0.44,+39 06 7536722,ufficio@romagnaplastica.it,https://www.romagnaplastica.it,"Viale della Libertà, 1 - 65010 Reggio Emilia (RE)",65010,Reggio Emilia,RE,"Realtà imprenditoriale italiana fondata nel 1997, specializzata nel settore meccanica. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 0.44 milioni di euro."
Metalgroup S.r.l.,S.r.l.,Agricoltura,2014,39948293983,Micro impresa,6,2.0,+39 045 7170184,ufficio@metalgroup.it,https://www.metalgroup.it,"Via Fermi, 167 - 62049 Varese (VA)",62049,Varese,VA,"Fondata nel 2014, la nostra azienda opera nel settore agricoltura con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
E.G.,Ditta individuale,Metalmeccanica,1991,61787909469,Micro impresa,6,0.31,+39 045 7502600,amministrazione@eg.it,https://www.eg.it,"Via Firenze, 1 - 38083 Trento (TN)",38083,Trento,TN,"Fondata nel 1991, la nostra azienda opera nel settore metalmeccanica con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo Costruzioni S.r.l.,S.r.l.,Tessile,2010,67680072182,Micro impresa,9,1.86,+39 091 8543459,vendite@colombocostruzioni.it,https://www.colombocostruzioni.it,"Via Dante, 101 - 23090 Varese (VA)",23090,Varese,VA,Azienda a conduzione familiare con 15 anni di esperienza nel settore tessile. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.86 milioni di euro.
Ecomec S.r.l.,S.r.l.,ICT,2005,76255192533,Micro impresa,3,0.37,+39 010 286924,info@ecomec.it,https://www.ecomec.it,"Via Mazzini, 188 - 16013 Ancona (AN)",16013,Ancona,AN,Azienda a conduzione familiare con 20 anni di esperienza nel settore ict. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 0.37 milioni di euro.
Agrigroup S.n.c.,S.n.c.,Trasporti,1997,88430795085,Micro impresa,7,0.24,+39 010 628867,amministrazione@agrigroup.it,https://www.agrigroup.it,"Via Edison, 45 - 78025 Treviso (TV)",78025,Treviso,TV,Azienda a conduzione familiare con 28 anni di esperienza nel settore trasporti. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.24 milioni di euro.
Metalproject S.r.l.,S.r.l.,Manifatturiero,2007,22904764757,Micro impresa,6,0.69,+39 055 4527233,contatti@metalproject.it,https://www.metalproject.it,"Via delle Industrie, 70 - 47080 Palermo (PA)",47080,Palermo,PA,"PMI italiana attiva nel settore manifatturiero dal 2007. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
S.U.Q. Società cooperativa,Società cooperativa,Metalmeccanica,2008,31196781417,Piccola impresa,47,3.52,+39 081 5504985,info@suq.it,https://www.suq.it,"Via Torino, 27 - 68060 Modena (MO)",68060,Modena,MO,"Realtà imprenditoriale italiana fondata nel 2008, specializzata nel settore metalmeccanica. La nostra struttura conta 47 professionisti qualificati e ha un fatturato di 3.52 milioni di euro."
M.S.N.Z. Società cooperativa,Società cooperativa,Trasporti,2014,76978847305,Micro impresa,9,1.79,+39 320 1730044,ufficio@msnz.it,https://www.msnz.it,"Via del Lavoro, 100 - 50191 Firenze (FI)",50191,Firenze,FI,"PMI italiana attiva nel settore trasporti dal 2014. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
E.R.K. S.n.c.,S.n.c.,Edilizia,1992,03499652504,Micro impresa,2,0.55,+39 06 1873985,erk@legalmail.it,https://www.erk.it,"Via Mazzini, 182 - 37164 Verona (VR)",37164,Verona,VR,"PMI italiana attiva nel settore edilizia dal 1992. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Emilia Metalli S.r.l.,S.r.l.,Servizi alle imprese,2002,08378885574,Micro impresa,6,0.69,+39 049 6986347,emiliametalli@virgilio.it,https://www.emiliametalli.it,"Via Mazzini, 35 - 35112 Padova (PD)",35112,Padova,PD,"Da oltre 23 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Padova, conta 6 collaboratori e un fatturato di 0.69 milioni di euro."
Greco e Colombo S.r.l.,S.r.l.,Manifatturiero,2006,99401293739,Micro impresa,3,1.9,+39 393 7595416,vendite@grecoecolombo.it,https://www.grecoecolombo.it,"Via Marconi, 35 - 60047 Como (CO)",60047,Como,CO,"PMI italiana attiva nel settore manifatturiero dal 2006. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marche Legno S.r.l.,S.r.l.,Tessile,2016,23244580374,Micro impresa,3,0.45,+39 06 3320533,info@marchelegno.it,https://www.marchelegno.it,"Via Torino, 124 - 80134 Napoli (NA)",80134,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2016, specializzata nel settore tessile. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.45 milioni di euro."
Alimenttrade S.r.l.,S.r.l.,Edilizia,2002,14189042226,Micro impresa,9,1.1,+39 02 1552894,info@alimenttrade.it,https://www.alimenttrade.it,"Via Mazzini, 78 - 25180 Brescia (BS)",25180,Brescia,BS,"PMI italiana attiva nel settore edilizia dal 2002. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
