Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
Marino Formazione,Cooperativa,Consulenza,"Via Bologna, 126, Roma, Roma",Roma,Roma,info@marinoformazione.it,06 3030339,350 7621947,www.marinoformazione.eu,2023,55,42263507,Azienda leader nel settore consulenza con focus su innovazione e qualità.,Non contattato,,,
Giordano Tessile,S.a.s.,Manifatturiero,"Via Firenze, 9, Montesilvano, Pescara",Montesilvano,Pescara,giordanotessile@enterprise.com,049 986859,,www.giordanotessile.com,2014,201,37545826,Azienda familiare con lunga tradizione nel settore manifatturiero e forte radicamento territoriale.,Non contattato,,,
Gallo S.r.l.,Cooperativa,Turismo,"Via Torino, 3, Chiari, Brescia",Chiari,Brescia,gallosrl@enterprise.com,02 0237837,370 5156181,,2003,25,5386557,Forniamo soluzioni personalizzate per il settore turismo a piccole e medie imprese.,Non contattato,,,
FoodEngineering,S.a.s.,Elettronica,"Via Verdi, 50, Tivoli, Roma",Tivoli,Roma,info@foodengineering.com,041 445206,,,1999,139,20463290,Azienda leader nel settore elettronica con focus su innovazione e qualità.,Non contattato,,,
GlobalNetwork,S.n.c.,Tessile,"Via Verona, 17, Padova, Padova",Padova,Padova,info@globalnetwork.it,06 4040513,390 2855788,www.globalnetwork.com,2013,118,11943228,Azienda leader nel settore tessile con focus su innovazione e qualità.,Non contattato,,,
Ferrari Servizi,Ditta Individuale,Marketing,"Via Torino, 149, Civitavecchia, Roma",Civitavecchia,Roma,info@ferrariservizi.it,010 552716,,www.ferrariservizi.com,1992,93,31729015,Azienda leader nel settore marketing con focus su innovazione e qualità.,Non contattato,,,
MechEnterprise,Ditta Individuale,Meccanica,"Via Roma, 89, Riva del Garda, Trento",Riva del Garda,Trento,mechenterprise@azienda.com,041 357047,380 3921810,www.mechenterprise.com,1994,223,48685081,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
Marino S.a.s.,S.n.c.,Tessile,"Via Verona, 54, Treviglio, Bergamo",Treviglio,Bergamo,info@marinosas.it,045 883244,,,2000,122,47093180,Azienda familiare con lunga tradizione nel settore tessile e forte radicamento territoriale.,Non contattato,,,
ElectroConsulting,S.a.s.,Turismo,"Via Firenze, 5, Selargius, Cagliari",Selargius,Cagliari,contatti@electroconsulting.it,030 822705,,www.electroconsulting.it,1986,118,46849038,Dal 1986 operiamo con successo nel settore turismo con clienti in tutta Italia.,Non contattato,,,
Bianchi S.r.l.,S.n.c.,Servizi,"Via Verona, 81, Foligno, Perugia",Foligno,Perugia,bianchisrl@gmail.com,02 4895374,,www.bianchisrl.eu,2023,225,22737732,La nostra missione è fornire eccellenza nel settore servizi con un approccio innovativo.,Non contattato,,,
TeleTechnologies,S.p.A.,Commercio,"Via Verona, 104, Brunico, Bolzano",Brunico,Bolzano,contatti@teletechnologies.it,080 361697,,www.teletechnologies.org,1970,223,38641225,Azienda leader nel settore commercio con focus su innovazione e qualità.,Non contattato,,,
Fontana S.n.c.,S.n.c.,Commercio,"Via Verdi, 70, Bagheria, Palermo",Bagheria,Palermo,info@fontanasnc.it,010 777503,330 5241493,,1989,67,6543401,Dal 1989 operiamo con successo nel settore commercio con clienti in tutta Italia.,Non contattato,,,
AgriItalia,Cooperativa,Commercio,"Via Napoli, 135, Langhirano, Parma",Langhirano,Parma,info@agriitalia.com,049 916381,350 6537160,,1979,81,48950155,La nostra missione è fornire eccellenza nel settore commercio con un approccio innovativo.,Non contattato,,,
Mariani S.r.l.,S.a.s.,Automotive,"Via Genova, 87, Nardò, Lecce",Nardò,Lecce,contatti@marianisrl.it,055 199407,,www.marianisrl.it,2009,205,41925694,La nostra missione è fornire eccellenza nel settore automotive con un approccio innovativo.,Non contattato,,,
Barbieri S.r.l.,Cooperativa,Energia,"Via Brescia, 1, Fabriano, Ancona",Fabriano,Ancona,info@barbierisrl.it,081 328858,,www.barbierisrl.org,2000,32,18096780,PMI in crescita specializzata in prodotti e servizi energia di alta qualità.,Non contattato,,,
Verdi Trasporti,S.p.A.,Energia,"Via Garibaldi, 15, San Bonifacio, Verona",San Bonifacio,Verona,info@verditrasporti.it,06 8742160,360 0523778,www.verditrasporti.com,2010,218,34770467,Offriamo servizi e prodotti di alta qualità nel settore energia dal 2010.,Non contattato,,,
Caruso Cooperativa,S.p.A.,Marketing,"Via Catania, 36, Verona, Verona",Verona,Verona,info@carusocooperativa.it,081 789955,,www.carusocooperativa.com,1991,239,8904034,Realtà consolidata nel panorama marketing con particolare attenzione alla sostenibilità.,Non contattato,,,
MechPartners,Cooperativa,Farmaceutico,"Via Napoli, 74, Brescia, Brescia",Brescia,Brescia,contatti@mechpartners.it,081 075427,320 5539601,www.mechpartners.com,2007,22,12537802,Forniamo soluzioni personalizzate per il settore farmaceutico a piccole e medie imprese.,Non contattato,,,
Lombardi Design,S.a.s.,Energia,"Via Verdi, 5, Tivoli, Roma",Tivoli,Roma,contatti@lombardidesign.it,030 764165,360 2607472,,1978,46,37280255,Azienda innovativa nel campo energia con un team di professionisti qualificati.,Non contattato,,,
Rossi Ditta Individuale,S.p.A.,Commercio,"Via Genova, 106, Ercolano, Napoli",Ercolano,Napoli,rossidittaindividuale@tech.it,041 316616,,,1983,219,48772337,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
Marino Trasporti,S.a.s.,Manifatturiero,"Via Napoli, 72, Rapallo, Genova",Rapallo,Genova,contatti@marinotrasporti.it,081 594293,,,1997,220,48098461,Realtà consolidata nel panorama manifatturiero con particolare attenzione alla sostenibilità.,Non contattato,,,
Bianchi Commercio,S.p.A.,Meccanica,"Corso Italia, 86, Montesilvano, Pescara",Montesilvano,Pescara,bianchicommercio@libero.it,010 894345,,www.bianchicommercio.it,1990,28,31001278,PMI specializzata in soluzioni meccanica per il mercato italiano ed europeo.,Non contattato,,,
AgriConsulting,S.r.l.,Chimica,"Via Bari, 41, Merano, Bolzano",Merano,Bolzano,agriconsulting@business.it,045 409199,391 7560071,www.agriconsulting.net,2011,71,32505330,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Lombardi Edilizia,S.r.l.,Commercio,"Via Palermo, 117, Genova, Genova",Genova,Genova,lombardiedilizia@group.it,049 254898,,www.lombardiedilizia.com,2015,71,30124658,Dal 2015 operiamo con successo nel settore commercio con clienti in tutta Italia.,Non contattato,,,
InfoEngineering,S.n.c.,Elettronica,"Via Firenze, 5, Chiari, Brescia",Chiari,Brescia,info@infoengineering.it,010 598116,390 3133008,www.infoengineering.it,2005,131,34092291,Forniamo soluzioni personalizzate per il settore elettronica a piccole e medie imprese.,Non contattato,,,
ElectroService,S.p.A.,Ristorazione,"Via Milano, 31, Paternò, Catania",Paternò,Catania,contatti@electroservice.it,02 4721243,350 5931968,www.electroservice.it,1999,208,11759233,Azienda leader nel settore ristorazione con focus su innovazione e qualità.,Non contattato,,,
Costa Design,S.p.A.,Immobiliare,"Via Mazzini, 147, Sesto San Giovanni, Milano",Sesto San Giovanni,Milano,contatti@costadesign.it,081 428036,390 8767574,www.costadesign.com,2012,240,39469895,Azienda innovativa nel campo immobiliare con un team di professionisti qualificati.,Non contattato,,,
HydroNetwork,S.n.c.,Logistica,"Via Mazzini, 124, Misterbianco, Catania",Misterbianco,Catania,hydronetwork@libero.it,051 776689,330 6321052,www.hydronetwork.net,2016,10,31068765,Realtà consolidata nel panorama logistica con particolare attenzione alla sostenibilità.,Non contattato,,,
Bianchi Ditta Individuale,Ditta Individuale,Chimica,"Via Leonardo da Vinci, 119, Fiumicino, Roma",Fiumicino,Roma,info@bianchidittaindividuale.com,080 421202,,www.bianchidittaindividuale.org,1994,192,12145634,La nostra missione è fornire eccellenza nel settore chimica con un approccio innovativo.,Non contattato,,,
Romano S.a.s.,Cooperativa,Tecnologia,"Via Vittorio Emanuele, 136, Foligno, Perugia",Foligno,Perugia,romanosas@outlook.it,055 260118,,www.romanosas.org,2012,247,43116484,Azienda leader nel settore tecnologia con focus su innovazione e qualità.,Non contattato,,,
Greco Farmaceutico,S.p.A.,Logistica,"Via Catania, 17, Cagliari, Cagliari",Cagliari,Cagliari,info@grecofarmaceutico.it,030 404014,,www.grecofarmaceutico.org,2021,136,12733687,Forniamo soluzioni personalizzate per il settore logistica a piccole e medie imprese.,Non contattato,,,
Rizzo Logistica,S.a.s.,Alimentare,"Via Garibaldi, 4, Riva del Garda, Trento",Riva del Garda,Trento,rizzologistica@company.it,081 357669,330 1553222,www.rizzologistica.it,1983,93,10196022,Azienda innovativa nel campo alimentare con un team di professionisti qualificati.,Non contattato,,,
NetTechnologies,S.r.l.,Agricoltura,"Via Dante, 33, Venezia, Venezia",Venezia,Venezia,info@nettechnologies.com,010 676294,340 9548966,www.nettechnologies.com,1995,75,46843156,Offriamo servizi e prodotti di alta qualità nel settore agricoltura dal 1995.,Non contattato,,,
Esposito Logistica,Cooperativa,Elettronica,"Via Torino, 100, Chieri, Torino",Chieri,Torino,contatti@espositologistica.it,011 656836,,,1986,146,37290093,Offriamo servizi e prodotti di alta qualità nel settore elettronica dal 1986.,Non contattato,,,
Colombo Meccanica,S.a.s.,Manifatturiero,"Via Bologna, 150, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,info@colombomeccanica.it,02 6019308,,www.colombomeccanica.org,1995,96,12044255,Azienda leader nel settore manifatturiero con focus su innovazione e qualità.,Non contattato,,,
Marino Meccanica,S.r.l.,Alimentare,"Via Napoli, 147, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,contatti@marinomeccanica.it,080 804715,370 0470836,www.marinomeccanica.eu,1979,150,43858959,Forniamo soluzioni personalizzate per il settore alimentare a piccole e medie imprese.,Non contattato,,,
FoodServices,S.p.A.,Tecnologia,"Via Bari, 79, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,info@foodservices.it,051 257548,,,1999,138,30471247,PMI specializzata in soluzioni tecnologia per il mercato italiano ed europeo.,Non contattato,,,
Ferrara Cooperativa,S.n.c.,Consulenza,"Via Bari, 106, Senigallia, Ancona",Senigallia,Ancona,ferraracooperativa@azienda.com,051 935784,,www.ferraracooperativa.com,1973,129,5434275,PMI in crescita specializzata in prodotti e servizi consulenza di alta qualità.,Non contattato,,,
Bruno S.p.A.,Cooperativa,Meccanica,"Via Milano, 71, Chieri, Torino",Chieri,Torino,info@brunospa.com,081 546643,,www.brunospa.net,2012,215,1333226,Realtà consolidata nel panorama meccanica con particolare attenzione alla sostenibilità.,Non contattato,,,
Mariani Marketing,S.a.s.,Commercio,"Via Torino, 95, Brescia, Brescia",Brescia,Brescia,info@marianimarketing.com,030 116865,391 7865771,www.marianimarketing.it,1993,214,34035329,PMI in crescita specializzata in prodotti e servizi commercio di alta qualità.,Non contattato,,,
Conti Consulenza,Ditta Individuale,Meccanica,"Via Catania, 87, Ivrea, Torino",Ivrea,Torino,info@conticonsulenza.it,081 746685,340 7189941,,1999,36,6409169,Forniamo soluzioni personalizzate per il settore meccanica a piccole e medie imprese.,Non contattato,,,
ItalEnterprise,S.p.A.,Logistica,"Via Vittorio Emanuele, 111, Osimo, Ancona",Osimo,Ancona,contatti@italenterprise.it,011 692645,,www.italenterprise.org,1999,82,6769058,Offriamo servizi e prodotti di alta qualità nel settore logistica dal 1999.,Non contattato,,,
Ferrara S.p.A.,S.r.l.,Trasporti,"Via Vittorio Emanuele, 29, Tricase, Lecce",Tricase,Lecce,ferraraspa@company.it,02 6336055,,,2003,147,13094860,Azienda leader nel settore trasporti con focus su innovazione e qualità.,Non contattato,,,
InfoIndustries,S.n.c.,Immobiliare,"Via Bari, 78, Lumezzane, Brescia",Lumezzane,Brescia,infoindustries@gmail.com,055 435713,370 2946885,www.infoindustries.net,1987,136,48145171,La nostra missione è fornire eccellenza nel settore immobiliare con un approccio innovativo.,Non contattato,,,
InfoTech,Ditta Individuale,Consulenza,"Via Verona, 29, Fiumicino, Roma",Fiumicino,Roma,contatti@infotech.it,06 2889709,,www.infotech.eu,2016,200,32013891,Azienda leader nel settore consulenza con focus su innovazione e qualità.,Non contattato,,,
Romano Ditta Individuale,Ditta Individuale,Logistica,"Via Leonardo da Vinci, 30, Spoltore, Pescara",Spoltore,Pescara,info@romanodittaindividuale.com,02 6731606,380 3776550,www.romanodittaindividuale.eu,2018,134,29668181,PMI specializzata in soluzioni logistica per il mercato italiano ed europeo.,Non contattato,,,
WebEnterprise,S.p.A.,Chimica,"Via Bologna, 14, Monopoli, Bari",Monopoli,Bari,webenterprise@azienda.com,06 2178381,330 0624236,www.webenterprise.org,2008,37,9277037,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
Conti Ditta Individuale,S.a.s.,Design,"Via Leonardo da Vinci, 103, Milano, Milano",Milano,Milano,contidittaindividuale@group.it,049 876804,,,2013,35,46421814,Azienda leader nel settore design con focus su innovazione e qualità.,Non contattato,,,
DataSystems,S.n.c.,Servizi,"Via Bari, 10, Modena, Modena",Modena,Modena,datasystems@outlook.it,045 459684,,www.datasystems.com,2023,166,23073935,PMI in crescita specializzata in prodotti e servizi servizi di alta qualità.,Non contattato,,,
Mariani S.n.c.,S.a.s.,Tecnologia,"Via Modena, 64, Bussolengo, Verona",Bussolengo,Verona,marianisnc@enterprise.com,045 641243,390 6906836,www.marianisnc.eu,1989,57,15945008,Forniamo soluzioni personalizzate per il settore tecnologia a piccole e medie imprese.,Non contattato,,,
Ferrari S.r.l.,S.n.c.,Agricoltura,"Via Cavour, 78, Jesolo, Venezia",Jesolo,Venezia,info@ferrarisrl.com,011 011293,320 5976230,www.ferrarisrl.it,2015,5,15350434,PMI in crescita specializzata in prodotti e servizi agricoltura di alta qualità.,Non contattato,,,
SmartEngineering,S.p.A.,Agricoltura,"Via Napoli, 42, Velletri, Roma",Velletri,Roma,info@smartengineering.com,081 844756,,www.smartengineering.org,2003,85,36480231,PMI specializzata in soluzioni agricoltura per il mercato italiano ed europeo.,Non contattato,,,
Fontana Logistica,S.r.l.,Immobiliare,"Via Verona, 18, Ercolano, Napoli",Ercolano,Napoli,fontanalogistica@pec.it,081 541340,,www.fontanalogistica.eu,1979,216,43501952,Azienda leader nel settore immobiliare con focus su innovazione e qualità.,Non contattato,,,
SystemDevelopment,S.r.l.,Logistica,"Via Mazzini, 8, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,systemdevelopment@libero.it,051 703534,,,1996,140,14706308,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
Barbieri Elettronica,S.n.c.,Immobiliare,"Via Leonardo da Vinci, 112, Salsomaggiore, Parma",Salsomaggiore,Parma,info@barbierielettronica.it,045 856410,,www.barbierielettronica.it,2002,15,26398773,PMI in crescita specializzata in prodotti e servizi immobiliare di alta qualità.,Non contattato,,,
Mancini S.a.s.,Ditta Individuale,Formazione,"Via Brescia, 10, Carini, Palermo",Carini,Palermo,info@mancinisas.it,011 082539,391 2931040,www.mancinisas.org,1988,220,15960508,PMI specializzata in soluzioni formazione per il mercato italiano ed europeo.,Non contattato,,,
InfoItalia,Cooperativa,Trasporti,"Via Vittorio Emanuele, 87, Anzio, Roma",Anzio,Roma,contatti@infoitalia.it,081 560498,390 4988181,www.infoitalia.org,1971,98,2519042,Azienda innovativa nel campo trasporti con un team di professionisti qualificati.,Non contattato,,,
Giordano Trasporti,S.n.c.,Formazione,"Via Palermo, 136, Fiumicino, Roma",Fiumicino,Roma,info@giordanotrasporti.com,02 8221699,,www.giordanotrasporti.org,2020,229,7791614,Dal 2020 operiamo con successo nel settore formazione con clienti in tutta Italia.,Non contattato,,,
Lombardi S.r.l.,S.r.l.,Design,"Via Catania, 2, Pozzuoli, Napoli",Pozzuoli,Napoli,contatti@lombardisrl.it,041 944754,330 1459499,,2022,174,2106573,PMI in crescita specializzata in prodotti e servizi design di alta qualità.,Non contattato,,,
Giordano Elettronica,S.n.c.,Immobiliare,"Via Catania, 103, Città di Castello, Perugia",Città di Castello,Perugia,info@giordanoelettronica.it,055 385286,391 6461413,www.giordanoelettronica.org,2015,226,42978515,Offriamo servizi e prodotti di alta qualità nel settore immobiliare dal 2015.,Non contattato,,,
Bruno Logistica,S.a.s.,Manifatturiero,"Via Vittorio Emanuele, 38, Velletri, Roma",Velletri,Roma,info@brunologistica.com,081 053044,,www.brunologistica.org,1990,37,47903227,Forniamo soluzioni personalizzate per il settore manifatturiero a piccole e medie imprese.,Non contattato,,,
GlobalSystems,S.p.A.,Trasporti,"Via Napoli, 13, Romano di Lombardia, Bergamo",Romano di Lombardia,Bergamo,info@globalsystems.it,02 7307325,391 1213533,www.globalsystems.eu,2005,107,15923794,Realtà consolidata nel panorama trasporti con particolare attenzione alla sostenibilità.,Non contattato,,,
Rizzo S.a.s.,S.n.c.,Alimentare,"Via Genova, 16, Bologna, Bologna",Bologna,Bologna,info@rizzosas.it,045 354225,370 3661928,www.rizzosas.net,1993,174,8677398,La nostra missione è fornire eccellenza nel settore alimentare con un approccio innovativo.,Non contattato,,,
Colombo Commercio,Ditta Individuale,Automotive,"Via Garibaldi, 31, Sassuolo, Modena",Sassuolo,Modena,colombocommercio@outlook.it,011 028731,330 4614755,,1976,71,42157304,Dal 1976 operiamo con successo nel settore automotive con clienti in tutta Italia.,Non contattato,,,
AutoConsulting,S.a.s.,Consulenza,"Via Genova, 106, Monreale, Palermo",Monreale,Palermo,info@autoconsulting.it,030 786543,,www.autoconsulting.net,2013,159,1426388,Forniamo soluzioni personalizzate per il settore consulenza a piccole e medie imprese.,Non contattato,,,
Ferrara Formazione,S.r.l.,Immobiliare,"Via Mazzini, 37, Nardò, Lecce",Nardò,Lecce,info@ferraraformazione.it,041 449458,360 4180977,www.ferraraformazione.net,2005,6,26108772,Realtà consolidata nel panorama immobiliare con particolare attenzione alla sostenibilità.,Non contattato,,,
Rizzo Trasporti,S.n.c.,Energia,"Via Palermo, 127, San Donà di Piave, Venezia",San Donà di Piave,Venezia,rizzotrasporti@company.it,010 714634,,www.rizzotrasporti.eu,2020,219,27125887,PMI in crescita specializzata in prodotti e servizi energia di alta qualità.,Non contattato,,,
CyberService,S.a.s.,Chimica,"Via Firenze, 133, Monreale, Palermo",Monreale,Palermo,cyberservice@hotmail.com,02 0833159,370 2110600,www.cyberservice.com,2007,203,49006478,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Moretti Ditta Individuale,S.r.l.,Turismo,"Via Bologna, 122, Penne, Pescara",Penne,Pescara,info@morettidittaindividuale.it,011 992447,,www.morettidittaindividuale.it,1992,193,21494995,Forniamo soluzioni personalizzate per il settore turismo a piccole e medie imprese.,Non contattato,,,
Conti S.a.s.,S.n.c.,Trasporti,"Via Venezia, 29, Este, Padova",Este,Padova,contatti@contisas.it,010 348476,,www.contisas.eu,1983,46,32741776,Azienda leader nel settore trasporti con focus su innovazione e qualità.,Non contattato,,,
BioPartners,Ditta Individuale,Elettronica,"Via Genova, 41, Chiari, Brescia",Chiari,Brescia,biopartners@hotmail.com,045 959341,,,1997,207,6821848,Realtà consolidata nel panorama elettronica con particolare attenzione alla sostenibilità.,Non contattato,,,
HydroPartners,Cooperativa,Servizi,"Via Mazzini, 85, Foligno, Perugia",Foligno,Perugia,info@hydropartners.com,030 192318,390 1312174,www.hydropartners.it,2010,55,20552583,Realtà consolidata nel panorama servizi con particolare attenzione alla sostenibilità.,Non contattato,,,
Marino Tessile,S.p.A.,Tecnologia,"Via Roma, 83, Pescara, Pescara",Pescara,Pescara,info@marinotessile.com,030 498430,391 1415039,www.marinotessile.net,1984,168,6639468,Realtà consolidata nel panorama tecnologia con particolare attenzione alla sostenibilità.,Non contattato,,,
Ferrara Ristorazione,S.p.A.,Manifatturiero,"Via Verona, 88, Bari, Bari",Bari,Bari,contatti@ferrararistorazione.it,06 0811906,,www.ferrararistorazione.com,2016,151,2417077,Realtà consolidata nel panorama manifatturiero con particolare attenzione alla sostenibilità.,Non contattato,,,
Ferrari S.n.c.,Cooperativa,Chimica,"Via Milano, 112, San Donà di Piave, Venezia",San Donà di Piave,Venezia,ferrarisnc@tech.it,041 240979,390 5433090,,1975,168,30893876,PMI specializzata in soluzioni chimica per il mercato italiano ed europeo.,Non contattato,,,
UniPartners,S.a.s.,Tecnologia,"Via Bologna, 148, Chiavari, Genova",Chiavari,Genova,info@unipartners.com,055 908169,,,1999,10,30387230,La nostra missione è fornire eccellenza nel settore tecnologia con un approccio innovativo.,Non contattato,,,
Marino Cooperativa,S.p.A.,Agricoltura,"Via Dante, 22, Laives, Bolzano",Laives,Bolzano,info@marinocooperativa.com,010 978044,340 9684661,,1984,229,11972462,PMI specializzata in soluzioni agricoltura per il mercato italiano ed europeo.,Non contattato,,,
Ricci Cooperativa,S.n.c.,Marketing,"Via Genova, 143, Milano, Milano",Milano,Milano,info@riccicooperativa.it,06 3238348,,www.riccicooperativa.eu,2009,250,3796499,Azienda familiare con lunga tradizione nel settore marketing e forte radicamento territoriale.,Non contattato,,,
DataConsulting,Cooperativa,Tessile,"Via Garibaldi, 90, Chiari, Brescia",Chiari,Brescia,contatti@dataconsulting.it,041 146048,340 2907447,www.dataconsulting.org,2002,1,39560732,Dal 2002 operiamo con successo nel settore tessile con clienti in tutta Italia.,Non contattato,,,
Bruno S.r.l.,Cooperativa,Consulenza,"Via Napoli, 74, Afragola, Napoli",Afragola,Napoli,info@brunosrl.it,080 352835,,,2018,239,17081006,Azienda familiare con lunga tradizione nel settore consulenza e forte radicamento territoriale.,Non contattato,,,
Ricci S.n.c.,Cooperativa,Energia,"Via Catania, 71, Sassuolo, Modena",Sassuolo,Modena,info@riccisnc.it,081 862665,350 0271545,www.riccisnc.it,2002,150,4676148,Azienda innovativa nel campo energia con un team di professionisti qualificati.,Non contattato,,,
Bianchi Automotive,Ditta Individuale,Farmaceutico,"Via Vittorio Emanuele, 66, Chioggia, Venezia",Chioggia,Venezia,bianchiautomotive@enterprise.com,010 889750,,,1974,143,15241535,Realtà consolidata nel panorama farmaceutico con particolare attenzione alla sostenibilità.,Non contattato,,,
Giordano S.r.l.,S.a.s.,Meccanica,"Via Roma, 105, Monza, Milano",Monza,Milano,info@giordanosrl.com,055 530144,370 3980447,www.giordanosrl.net,1981,240,37704322,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
DataIndustries,Ditta Individuale,Manifatturiero,"Via Padova, 13, Bolzano, Bolzano",Bolzano,Bolzano,contatti@dataindustries.it,080 351887,,www.dataindustries.net,1998,181,45230934,Azienda innovativa nel campo manifatturiero con un team di professionisti qualificati.,Non contattato,,,
Lombardi Chimica,Ditta Individuale,Ristorazione,"Via Palermo, 104, Casoria, Napoli",Casoria,Napoli,info@lombardichimica.com,030 283836,,www.lombardichimica.it,1995,40,44569166,Azienda familiare con lunga tradizione nel settore ristorazione e forte radicamento territoriale.,Non contattato,,,
MediEnterprise,S.p.A.,Turismo,"Via Napoli, 3, Galatina, Lecce",Galatina,Lecce,medienterprise@gmail.com,02 3603004,,www.medienterprise.net,1976,177,1501512,PMI specializzata in soluzioni turismo per il mercato italiano ed europeo.,Non contattato,,,
LogicSystems,Cooperativa,Design,"Via Genova, 33, Nardò, Lecce",Nardò,Lecce,logicsystems@hotmail.com,081 120564,380 2138963,www.logicsystems.org,1991,160,20265988,La nostra missione è fornire eccellenza nel settore design con un approccio innovativo.,Non contattato,,,
